CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.192.769/0001-59;2021-03-31;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;ITR;104113;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104113
00.192.769/0001-59;2021-06-30;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;ITR;107635;2021-08-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107635
00.192.769/0001-59;2021-09-30;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;ITR;110106;2021-11-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110106
00.194.724/0001-13;2021-03-31;1;AES BRASIL OPERAÇÕES S.A.;026174;ITR;106390;2021-07-08;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=106390
00.194.724/0001-13;2021-06-30;1;AES BRASIL OPERAÇÕES S.A.;026174;ITR;107970;2021-08-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107970
00.194.724/0001-13;2021-09-30;1;AES BRASIL OPERAÇÕES S.A.;026174;ITR;109399;2021-11-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109399
00.242.184/0001-04;2021-03-31;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;026069;ITR;103718;2021-07-21;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103718
00.242.184/0001-04;2021-06-30;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;026069;ITR;108014;2021-08-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=108014
00.242.184/0001-04;2021-09-30;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;026069;ITR;110205;2021-11-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110205
00.272.185/0001-93;2021-03-31;1;CIMS S.A.;014818;ITR;103992;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103992
00.272.185/0001-93;2021-06-30;1;CIMS S.A.;014818;ITR;107597;2021-08-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107597
00.272.185/0001-93;2021-09-30;1;CIMS S.A.;014818;ITR;109457;2021-11-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109457
00.336.701/0001-04;2021-03-31;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;ITR;104283;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104283
00.336.701/0001-04;2021-06-30;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;ITR;107384;2021-08-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107384
00.336.701/0001-04;2021-09-30;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;ITR;110006;2021-11-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110006
00.359.742/0001-08;2021-03-31;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;015423;ITR;104311;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104311
00.359.742/0001-08;2021-06-30;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;015423;ITR;107541;2021-08-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107541
00.359.742/0001-08;2021-09-30;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;015423;ITR;109379;2021-11-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109379
00.383.281/0001-09;2021-03-31;1;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;ITR;103999;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103999
00.383.281/0001-09;2021-06-30;1;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;ITR;107636;2021-08-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107636
00.383.281/0001-09;2021-09-30;1;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;ITR;109774;2021-11-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109774
00.389.481/0001-79;2021-03-31;1;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;024880;ITR;104270;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104270
00.389.481/0001-79;2021-06-30;1;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;024880;ITR;107574;2021-08-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107574
00.389.481/0001-79;2021-09-30;1;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;024880;ITR;109784;2021-11-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109784
00.416.968/0001-01;2021-03-31;1;BANCO INTER S.A.;024406;ITR;103839;2021-05-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103839
00.416.968/0001-01;2021-06-30;1;BANCO INTER S.A.;024406;ITR;107568;2021-08-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107568
00.416.968/0001-01;2021-09-30;1;BANCO INTER S.A.;024406;ITR;109222;2021-10-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109222
00.545.378/0001-70;2021-03-31;1;SERRA AZUL WATER PARK SA;014966;ITR;104484;2021-05-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104484
00.545.378/0001-70;2021-06-30;1;SERRA AZUL WATER PARK SA;014966;ITR;107977;2021-08-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107977
00.545.378/0001-70;2021-09-30;1;SERRA AZUL WATER PARK SA;014966;ITR;110109;2021-11-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110109
00.622.416/0001-41;2021-03-31;1;STATKRAFT ENERGIAS RENOVAVEIS S.A.;022594;ITR;103896;2021-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103896
00.622.416/0001-41;2021-06-30;1;STATKRAFT ENERGIAS RENOVAVEIS S.A.;022594;ITR;107527;2021-08-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107527
00.622.416/0001-41;2021-09-30;1;STATKRAFT ENERGIAS RENOVAVEIS S.A.;022594;ITR;109645;2021-11-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109645
00.644.907/0001-93;2021-03-31;1;INVESTCO S.A.;018589;ITR;103936;2021-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103936
00.644.907/0001-93;2021-06-30;1;INVESTCO S.A.;018589;ITR;106674;2021-07-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=106674
00.644.907/0001-93;2021-09-30;1;INVESTCO S.A.;018589;ITR;109175;2021-10-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109175
00.743.065/0001-27;2021-03-31;1;LITEL PARTICIPACOES S.A.;015091;ITR;104211;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104211
00.743.065/0001-27;2021-06-30;1;LITEL PARTICIPACOES S.A.;015091;ITR;107776;2021-08-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107776
00.743.065/0001-27;2021-09-30;1;LITEL PARTICIPACOES S.A.;015091;ITR;109921;2021-11-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109921
00.776.574/0001-56;2021-03-31;1;AMERICANAS S.A.;020990;ITR;103516;2021-05-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103516
00.776.574/0001-56;2021-06-30;1;AMERICANAS S.A.;020990;ITR;107709;2021-08-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107709
00.776.574/0001-56;2021-09-30;1;AMERICANAS S.A.;020990;ITR;109815;2021-11-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109815
00.864.214/0001-06;2021-03-31;1;ENERGISA S.A.;015253;ITR;104143;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104143
00.864.214/0001-06;2021-03-31;2;ENERGISA S.A.;015253;ITR;104419;2021-05-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104419
00.864.214/0001-06;2021-06-30;1;ENERGISA S.A.;015253;ITR;107646;2021-08-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107646
00.864.214/0001-06;2021-09-30;1;ENERGISA S.A.;015253;ITR;109814;2021-11-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109814
00.864.214/0001-06;2021-09-30;2;ENERGISA S.A.;015253;ITR;110397;2021-11-23;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110397
00.897.864/0001-58;2021-03-31;1;SANTA CATARINA PART INVEST SA;015199;ITR;104415;2021-05-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104415
00.897.864/0001-58;2021-06-30;1;SANTA CATARINA PART INVEST SA;015199;ITR;107794;2021-08-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107794
00.897.864/0001-58;2021-09-30;1;SANTA CATARINA PART INVEST SA;015199;ITR;109932;2021-11-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109932
00.924.429/0001-75;2021-03-31;1;FERROVIA CENTRO-ATLANTICA S.A.;015369;ITR;104122;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104122
00.924.429/0001-75;2021-03-31;2;FERROVIA CENTRO-ATLANTICA S.A.;015369;ITR;109540;2021-11-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109540
00.924.429/0001-75;2021-06-30;1;FERROVIA CENTRO-ATLANTICA S.A.;015369;ITR;109541;2021-11-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109541
00.924.429/0001-75;2021-09-30;1;FERROVIA CENTRO-ATLANTICA S.A.;015369;ITR;109625;2021-11-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109625
00.924.429/0001-75;2021-09-30;2;FERROVIA CENTRO-ATLANTICA S.A.;015369;ITR;110099;2021-11-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110099
00.938.574/0001-05;2021-03-31;1;CONC RIO-TERESOPOLIS S.A.;019208;ITR;104098;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104098
00.938.574/0001-05;2021-06-30;1;CONC RIO-TERESOPOLIS S.A.;019208;ITR;107251;2021-08-04;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107251
00.938.574/0001-05;2021-09-30;1;CONC RIO-TERESOPOLIS S.A.;019208;ITR;109468;2021-11-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109468
00.974.211/0001-25;2021-03-31;1;LINHA AMARELA S.A. - LAMSA;024937;ITR;104532;2021-05-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104532
00.974.211/0001-25;2021-06-30;1;LINHA AMARELA S.A. - LAMSA;024937;ITR;107877;2021-08-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107877
00.974.211/0001-25;2021-09-30;1;LINHA AMARELA S.A. - LAMSA;024937;ITR;110018;2021-11-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110018
00.979.969/0001-56;2021-03-31;1;CAIXA ADM DIV PUB ESTADUAL SA;015717;ITR;102969;2021-04-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=102969
00.979.969/0001-56;2021-06-30;1;CAIXA ADM DIV PUB ESTADUAL SA;015717;ITR;106922;2021-07-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=106922
00.979.969/0001-56;2021-09-30;1;CAIXA ADM DIV PUB ESTADUAL SA;015717;ITR;109070;2021-10-19;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109070
01.027.058/0001-91;2021-03-31;1;CIELO S.A.;021733;ITR;103097;2021-04-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103097
01.027.058/0001-91;2021-06-30;1;CIELO S.A.;021733;ITR;107170;2021-08-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107170
01.027.058/0001-91;2021-09-30;1;CIELO S.A.;021733;ITR;109380;2021-11-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109380
01.083.200/0001-18;2021-03-31;1;NEOENERGIA S.A.;015539;ITR;103503;2021-05-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103503
01.083.200/0001-18;2021-03-31;2;NEOENERGIA S.A.;015539;ITR;104047;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104047
01.083.200/0001-18;2021-06-30;1;NEOENERGIA S.A.;015539;ITR;106559;2021-07-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=106559
01.083.200/0001-18;2021-09-30;1;NEOENERGIA S.A.;015539;ITR;109182;2021-10-25;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109182
01.104.937/0001-70;2021-03-31;1;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;015784;ITR;103966;2021-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103966
01.104.937/0001-70;2021-06-30;1;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;015784;ITR;107579;2021-08-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107579
01.104.937/0001-70;2021-09-30;1;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;015784;ITR;110227;2021-11-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110227
01.107.327/0001-20;2021-03-31;1;BBM LOGÍSTICA S.A.;024660;ITR;103634;2021-05-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103634
01.107.327/0001-20;2021-06-30;1;BBM LOGÍSTICA S.A.;024660;ITR;107564;2021-08-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107564
01.107.327/0001-20;2021-09-30;1;BBM LOGÍSTICA S.A.;024660;ITR;110094;2021-11-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110094
01.258.944/0001-26;2021-03-31;1;RUMO MALHA SUL S.A.;015709;ITR;104515;2021-05-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104515
01.258.944/0001-26;2021-06-30;1;RUMO MALHA SUL S.A.;015709;ITR;107863;2021-08-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107863
01.258.944/0001-26;2021-09-30;1;RUMO MALHA SUL S.A.;015709;ITR;109998;2021-11-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109998
01.319.044/0001-41;2021-03-31;1;WTC AMAZONAS SUITE HOTEL S.A.;015741;ITR;104401;2021-05-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104401
01.319.044/0001-41;2021-06-30;1;WTC AMAZONAS SUITE HOTEL S.A.;015741;ITR;108050;2021-08-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=108050
01.319.044/0001-41;2021-09-30;1;WTC AMAZONAS SUITE HOTEL S.A.;015741;ITR;110122;2021-11-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=110122
01.417.222/0001-77;2021-03-31;1;MRS LOGISTICA S.A.;017949;ITR;104050;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104050
01.417.222/0001-77;2021-06-30;1;MRS LOGISTICA S.A.;017949;ITR;107813;2021-08-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=107813
01.417.222/0001-77;2021-09-30;1;MRS LOGISTICA S.A.;017949;ITR;109689;2021-11-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=109689
01.468.594/0001-22;2021-03-31;1;LG INFORMÁTICA S.A.;025666;ITR;104181;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104181
01.468.594/0001-22;2021-03-31;2;LG INFORMÁTICA S.A.;025666;ITR;104303;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104303
